X1,Year_draft,Rd,Pk,Tm_draft,Player_draft,Age_draft,Pos_draft,Born,College,From,To,G_draft,MP_draft,PTS,TRB,AST,STL,BLK,FGPercentage,TwoPPercentage,ThreePPercentage,FTPercentage,WS_draft,WSPer48_draft,mergename,Player_season,Pos_season,Age_season,Tm_season,G_season,MP_season,PER,TSPercentage,ThreePAr,FTr,ORBPercentage,DRBPercentage,TRBPercentage,ASTPercentage,STLPercentage,BLKPercentage,TOVPercentage,USGPercentage,OWS,DWS,WS_season,WSPer48_season,OBPM,DBPM,BPM,VORP,Year_season,projage,agecheck,sincedrafted
0,2017,1,1,PHI,Markelle Fultz,19.029,G,us,University of Washington,2018,2018,14,18.1,7.1,3.1,3.8,0.9,0.3,0.405,0.409,0,0.47600000000000003,0.2,0.043,markellefultz,Markelle Fultz,SG,19,PHI,14,253,12.4,0.41600000000000004,0.009000000000000001,0.18899999999999997,4.9,13.1,9.2,31.3,2.3,1.3,12.4,23.1,-0.2,0.4,0.2,0.043,-3.8,0.8,-3,-0.1,2018,20.029,1.029,1
1,2017,1,2,LAL,Lonzo Ball,19.243,G,us,"University of California, Los Angeles",2018,2018,52,34.2,10.2,6.9,7.2,1.7,0.8,0.36,0.42,0.305,0.451,2,0.053,lonzoball,Lonzo Ball,PG,20,LAL,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,-0.5,2.5,2,0.053,-0.8,2.5,1.7,1.7,2018,20.243,0.24299999999999855,1
2,2017,1,3,BOS,Jayson Tatum,19.116,F,us,Duke University,2018,2018,80,30.5,13.9,5,1.6,1,0.7,0.475,0.49200000000000005,0.434,0.826,7.1,0.139,jaysontatum,Jayson Tatum,SF,19,BOS,80,2438,15.3,0.586,0.29,0.309,2.3,15.6,9,8.3,1.7,2,10.7,19.5,3,4,7.1,0.139,-0.5,1.5,1,1.8,2018,20.116,1.1159999999999997,1
3,2017,1,4,PHO,Josh Jackson,20.137,F-G,us,University of Kansas,2018,2018,77,25.4,13.1,4.6,1.5,1,0.5,0.41700000000000004,0.46399999999999997,0.263,0.634,-0.7,-0.018000000000000002,joshjackson,Josh Jackson,SF,20,PHO,77,1959,11.8,0.48,0.233,0.299,5.1,14.2,9.6,10.1,2,1.4,12.2,26,-2,1.2,-0.7,-0.018000000000000002,-3.1,-1.2,-4.3,-1.1,2018,21.137,1.1370000000000005,1
4,2017,1,5,SAC,De'Aaron Fox,19.189,G,us,University of Kentucky,2018,2018,73,27.8,11.6,2.8,4.4,1,0.3,0.41200000000000003,0.436,0.307,0.723,-0.6,-0.013999999999999999,deaaronfox,De'Aaron Fox,PG,20,SAC,73,2026,11.2,0.478,0.192,0.245,1.8,10,5.7,24.6,1.7,0.9,16.4,23.4,-1.7,1.1,-0.6,-0.013999999999999999,-2.8,-1.5,-4.4,-1.2,2018,20.189,0.18900000000000006,1
5,2017,1,6,ORL,Jonathan Isaac,19.267,F,us,Florida State University,2018,2018,27,19.9,5.4,3.7,0.7,1.2,1.1,0.379,0.39399999999999996,0.348,0.76,0.2,0.021,jonathanisaac,Jonathan Isaac,PF,20,ORL,27,536,9.8,0.465,0.317,0.172,3.3,17.2,10.2,4.8,3,4.5,14.8,15,-0.6,0.8,0.2,0.021,-4.9,3.1,-1.8,0,2018,20.267,0.26699999999999946,1
6,2017,1,7,MIN,Lauri Markkanen,20.035999999999998,F-C,fi,University of Arizona,2018,2018,68,29.7,15.2,7.5,1.2,0.6,0.6,0.434,0.49700000000000005,0.36200000000000004,0.843,3.3,0.079,laurimarkkanen,Lauri Markkanen,PF,20,CHI,68,2020,15.6,0.552,0.465,0.193,4,23.7,13.5,6.4,0.9,1.8,8.2,21.9,1.7,1.6,3.3,0.079,-0.6,-1.3,-1.9,0.1,2018,21.035999999999998,1.0359999999999978,1
7,2017,1,8,NYK,Frank Ntilikina,18.334,G,be,NA,2018,2018,78,21.9,5.9,2.3,3.2,0.8,0.2,0.364,0.385,0.318,0.721,-0.9,-0.026000000000000002,frankntilikina,Frank Ntilikina,PG,19,NYK,78,1706,7,0.43700000000000006,0.314,0.136,2.4,9.1,5.8,20,1.9,0.9,19.8,16.9,-2,1.1,-0.9,-0.026000000000000002,-3.5,-0.5,-3.9,-0.8,2018,19.334,0.33399999999999963,1
8,2017,1,9,DAL,Dennis Smith,19.214000000000002,G,us,North Carolina State University,2018,2018,69,29.7,15.2,3.8,5.2,1,0.3,0.395,0.436,0.313,0.6940000000000001,-0.7,-0.017,dennissmith,Dennis Smith,PG,20,DAL,69,2049,12.8,0.473,0.331,0.18899999999999997,2.6,11.8,7,29.5,1.7,0.8,15,28.9,-2.4,1.7,-0.7,-0.017,-1.5,-0.7,-2.3,-0.1,2018,20.214000000000002,0.2140000000000022,1
9,2017,1,10,SAC,Zach Collins,19.22,C-F,us,Gonzaga University,2018,2018,66,15.8,4.4,3.3,0.8,0.3,0.5,0.39799999999999996,0.455,0.31,0.643,0.6,0.03,zachcollins,Zach Collins,C,20,POR,66,1045,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,-0.7,1.3,0.6,0.03,-4.1,0.9,-3.2,-0.3,2018,20.22,0.21999999999999886,1
10,2017,1,11,CHO,Malik Monk,19.143,G,us,University of Kentucky,2018,2018,63,13.6,6.7,1,1.4,0.3,0.1,0.36,0.385,0.342,0.8420000000000001,0,0.001,malikmonk,Malik Monk,SG,19,CHO,63,854,10.3,0.47700000000000004,0.5720000000000001,0.08900000000000001,1,7.5,4.2,16.9,1.1,0.9,9.8,24.9,-0.5,0.5,0,0.001,-1,-3.4,-4.4,-0.5,2018,20.143,1.1430000000000007,1
11,2017,1,12,DET,Luke Kennard,21.003,G,us,Duke University,2018,2018,73,20,7.6,2.4,1.7,0.6,0.2,0.44299999999999995,0.46299999999999997,0.415,0.855,2.6,0.085,lukekennard,Luke Kennard,SG,21,DET,73,1463,12.1,0.56,0.419,0.163,1.6,11.9,6.6,12.7,1.5,0.8,12.2,17.2,1.1,1.4,2.6,0.085,-1.1,-0.4,-1.5,0.2,2018,22.003,1.0030000000000001,1
12,2017,1,13,DEN,Donovan Mitchell,20.293,G,us,University of Louisville,2018,2018,79,33.4,20.5,3.7,3.7,1.5,0.3,0.43700000000000006,0.502,0.34,0.805,5.2,0.095,donovanmitchell,Donovan Mitchell,SG,21,UTA,79,2638,16.7,0.541,0.40399999999999997,0.218,2.3,10.4,6.4,19.4,2.2,0.9,12.6,29.1,1.4,3.8,5.2,0.095,1.3,-0.2,1.1,2.1,2018,21.293,0.29299999999999926,1
13,2017,1,14,MIA,Bam Adebayo,19.344,C-F,us,University of Kentucky,2018,2018,69,19.8,6.9,5.5,1.5,0.5,0.6,0.512,0.523,0,0.721,4.2,0.14800000000000002,bamadebayo,Bam Adebayo,C,20,MIA,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.14800000000000002,-1.6,1.8,0.2,0.8,2018,20.344,0.3440000000000012,1
14,2017,1,15,POR,Justin Jackson,22.092,G-F,us,University of North Carolina,2018,2018,68,22.1,6.7,2.8,1.1,0.4,0.2,0.442,0.547,0.308,0.722,1,0.031,justinjackson,Justin Jackson,SF,22,SAC,68,1506,9.2,0.521,0.442,0.086,2,12.6,7.1,7.2,0.9,0.8,8.4,14.2,0.4,0.5,1,0.031,-2,-1.5,-3.5,-0.6,2018,23.092,1.0919999999999987,1
15,2017,1,16,CHI,Justin Patton,20.012999999999998,C,us,Creighton University,2018,2018,1,4,2,0,0,1,0,0.5,0.5,NA,NA,0,0.151,justinpatton,Justin Patton,C,20,MIN,1,4,19.8,0.5,0,0,0,0,0,0,12.5,0,0,22.1,0,0,0,0.151,-0.7,4,3.3,0,2018,21.012999999999998,1.0129999999999981,1
16,2017,1,17,MIL,D.J. Wilson,21.129,F,us,University of Michigan,2018,2018,22,3.2,1,0.5,0.1,0.1,0,0.563,0.636,0.4,0.5,0.1,0.054000000000000006,djwilson,D.J. Wilson,PF,21,MIL,22,71,10.3,0.622,0.313,0.125,3.3,13.2,8.3,6.1,2.1,1.2,19.2,13.3,0,0.1,0.1,0.054000000000000006,-2.9,-1.2,-4.1,0,2018,22.129,1.1290000000000013,1
17,2017,1,18,IND,T.J. Leaf,20.058,F,il,"University of California, Los Angeles",2018,2018,53,8.7,2.9,1.5,0.2,0.1,0.1,0.47100000000000003,0.489,0.429,0.625,0.8,0.08199999999999999,tjleaf,T.J. Leaf,PF,20,IND,53,459,10.7,0.545,0.309,0.11800000000000001,7.2,13,10.1,2.8,0.5,0.8,6.5,14.9,0.5,0.3,0.8,0.08199999999999999,-1.9,-2.9,-4.8,-0.3,2018,21.058,1.0579999999999998,1
18,2017,1,19,ATL,John Collins,19.277,F,us,Wake Forest University,2018,2018,74,24.1,10.5,7.3,1.3,0.6,1.1,0.5760000000000001,0.598,0.34,0.715,5.4,0.145,johncollins,John Collins,PF,20,ATL,74,1785,18.3,0.62,0.086,0.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,3.4,2,5.4,0.145,-0.2,1.9,1.7,1.7,2018,20.277,0.277000000000001,1
20,2017,1,21,OKC,Terrance Ferguson,19.041,G-F,us,NA,2018,2018,61,12.5,3.1,0.8,0.3,0.4,0.2,0.414,0.612,0.33299999999999996,0.9,1.2,0.077,terranceferguson,Terrance Ferguson,SG,19,OKC,61,763,7.4,0.545,0.71,0.059000000000000004,2.7,4.2,3.4,3.4,1.6,1.2,6,10.4,0.7,0.5,1.2,0.077,-1.2,-1.3,-2.5,-0.1,2018,20.041,1.0410000000000004,1
21,2017,1,22,BRK,Jarrett Allen,19.067,F-C,us,University of Texas at Austin,2018,2018,72,20,8.2,5.4,0.7,0.4,1.2,0.589,0.599,0.33299999999999996,0.7759999999999999,4.2,0.141,jarrettallen,Jarrett Allen,C,19,BRK,72,1441,17.5,0.636,0.038,0.37,10.5,18.2,14.3,5.4,0.9,4.6,15.1,16.3,2.7,1.5,4.2,0.141,-1.3,1.4,0.2,0.8,2018,20.067,1.0670000000000002,1
22,2017,1,23,TOR,OG Anunoby,19.345,F,gb,Indiana University,2018,2018,74,20,5.9,2.5,0.7,0.7,0.2,0.47100000000000003,0.604,0.371,0.629,3,0.098,oganunoby,OG Anunoby,SF,20,TOR,74,1481,10,0.5870000000000001,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,1.4,1.6,3,0.098,0.2,0.4,0.6,1,2018,20.345,0.34499999999999886,1
25,2017,1,26,POR,Caleb Swanigan,20.07,F,us,Purdue University,2018,2018,27,7,2.3,2,0.5,0.2,0.1,0.4,0.442,0.125,0.667,0,-0.003,calebswanigan,Caleb Swanigan,PF,20,POR,27,189,7.5,0.449,0.133,0.3,8.7,22.3,15.6,10.8,1.3,1.3,20.9,20,-0.3,0.3,0,-0.003,-6,0.6,-5.4,-0.2,2018,21.07,1.0700000000000003,1
26,2017,1,27,BRK,Kyle Kuzma,21.339000000000002,F,us,University of Utah,2018,2018,77,31.2,16.1,6.3,1.8,0.6,0.4,0.45,0.511,0.366,0.7070000000000001,3.8,0.077,kylekuzma,Kyle Kuzma,PF,22,LAL,77,2401,14.2,0.5489999999999999,0.418,0.2,3.9,17.4,10.7,9.1,1,1.1,11,22.5,1.5,2.3,3.8,0.077,-0.3,-1,-1.3,0.4,2018,22.339000000000002,0.3390000000000022,1
27,2017,1,28,LAL,Tony Bradley,19.17,F-C,us,University of North Carolina,2018,2018,9,3.2,0.9,1.2,0.1,0,0,0.273,0.3,0,1,0,0.033,tonybradley,Tony Bradley,C,20,UTA,9,29,9.5,0.337,0.091,0.182,15.8,27.1,21.5,5,0,0,0,18.4,0,0,0,0.033,-6.6,-3,-9.6,-0.1,2018,20.17,0.1700000000000017,1
28,2017,1,29,SAS,Derrick White,22.361,G,us,University of Colorado,2018,2018,17,8.2,3.2,1.5,0.5,0.2,0.2,0.485,0.4,0.615,0.7,0.5,0.17,derrickwhite,Derrick White,PG,23,SAS,17,139,15.9,0.6459999999999999,0.39399999999999996,0.606,4,16.9,10.4,9.3,1.5,1.8,12.6,15.4,0.3,0.2,0.5,0.17,0,0.5,0.5,0.1,2018,23.361,0.36100000000000065,1
29,2017,1,30,UTA,Josh Hart,22.114,G,us,Villanova University,2018,2018,63,23.2,7.9,4.2,1.3,0.7,0.3,0.469,0.551,0.396,0.7020000000000001,3.4,0.111,joshhart,Josh Hart,SG,22,LAL,63,1461,12.2,0.596,0.525,0.251,3.1,16,9.6,7.6,1.5,0.9,10.1,13.5,1.9,1.5,3.4,0.111,-0.3,0.2,-0.1,0.7,2018,23.114,1.1140000000000008,1
30,2016,1,1,PHI,Ben Simmons,19.343,G-F,au,Louisiana State University,2018,2018,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0.551,0,0.56,9.2,0.162,bensimmons,Ben Simmons,PG,21,PHI,81,2732,20,0.557,0.011000000000000001,0.342,5.9,19.5,13,37.4,2.5,2.1,19.5,22.3,4.2,5,9.2,0.162,1,3.6,4.6,4.6,2018,21.343,0.34299999999999997,2
31,2016,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017,2018,138,30.8,12.2,4.6,2.9,0.7,0.6,0.43799999999999994,0.466,0.32899999999999996,0.655,2.5,0.027999999999999997,brandoningram,Brandon Ingram,SF,19,LAL,79,2279,8.5,0.474,0.273,0.312,2.8,12.7,7.6,10.5,1.1,1.3,12.9,16.8,-1,0.7,-0.3,-0.006999999999999999,-3.1,-0.7,-3.8,-1.1,2017,19.299,0.2989999999999995,1
32,2016,1,2,LAL,Brandon Ingram,18.299,F,us,Duke University,2017,2018,138,30.8,12.2,4.6,2.9,0.7,0.6,0.43799999999999994,0.466,0.32899999999999996,0.655,2.5,0.027999999999999997,brandoningram,Brandon Ingram,SF,20,LAL,59,1975,13.8,0.536,0.138,0.371,3.1,13.8,8.5,17.7,1.1,1.8,14.4,22.2,1,1.8,2.8,0.068,-1.6,0.3,-1.3,0.4,2018,20.299,0.2989999999999995,2
33,2016,1,3,BOS,Jaylen Brown,19.247,F-G,us,University of California,2017,2018,148,23.6,10.4,3.8,1.2,0.7,0.3,0.461,0.507,0.379,0.6579999999999999,6,0.08199999999999999,jaylenbrown,Jaylen Brown,SF,20,BOS,78,1341,10.3,0.539,0.319,0.293,3.8,14.4,9.1,7.2,1.3,1.1,12.5,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4,-0.7,2017,20.247,0.2469999999999999,1
34,2016,1,3,BOS,Jaylen Brown,19.247,F-G,us,University of California,2017,2018,148,23.6,10.4,3.8,1.2,0.7,0.3,0.461,0.507,0.379,0.6579999999999999,6,0.08199999999999999,jaylenbrown,Jaylen Brown,SG,21,BOS,70,2152,13.6,0.562,0.381,0.29,3.4,14,8.8,8.5,1.6,1,12,21.4,1.2,3.2,4.5,0.1,-0.6,0.4,-0.2,1,2018,21.247,0.2469999999999999,2
35,2016,1,4,PHO,Dragan Bender,18.223,F,ba,NA,2017,2018,125,21.1,5.4,3.7,1.2,0.3,0.6,0.37799999999999995,0.441,0.345,0.6940000000000001,-0.3,-0.005,draganbender,Dragan Bender,PF,19,PHO,43,574,5.3,0.44,0.627,0.068,4.2,15.6,9.7,5.5,0.8,3.1,16.2,14.4,-0.7,0.3,-0.3,-0.028999999999999998,-4,-0.3,-4.3,-0.3,2017,19.223,0.22299999999999898,1
36,2016,1,4,PHO,Dragan Bender,18.223,F,ba,NA,2017,2018,125,21.1,5.4,3.7,1.2,0.3,0.6,0.37799999999999995,0.441,0.345,0.6940000000000001,-0.3,-0.005,draganbender,Dragan Bender,PF,20,PHO,82,2069,7.1,0.524,0.665,0.105,2,16.8,9.3,8.9,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,0.001,-2.7,0,-2.7,-0.4,2018,20.223,0.22299999999999898,2
37,2016,1,5,MIN,Kris Dunn,22.103,G,us,Providence College,2017,2018,130,22,7.6,3,3.8,1.4,0.5,0.413,0.44,0.309,0.69,1,0.016,krisdunn,Kris Dunn,PG,22,MIN,78,1333,8.1,0.43200000000000005,0.233,0.188,2.1,12.6,7.3,19.4,3,2.3,20.8,14.2,-1.2,1.3,0.1,0.004,-3.7,1.5,-2.2,-0.1,2017,23.103,1.1030000000000015,1
38,2016,1,5,MIN,Kris Dunn,22.103,G,us,Providence College,2017,2018,130,22,7.6,3,3.8,1.4,0.5,0.413,0.44,0.309,0.69,1,0.016,krisdunn,Kris Dunn,PG,23,CHI,52,1525,14.5,0.488,0.201,0.17300000000000001,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,-1,1.9,0.8,0.027000000000000003,-1.4,1.4,-0.1,0.7,2018,24.103,1.1030000000000015,2
40,2016,1,6,NOP,Buddy Hield,22.194000000000003,G,bs,University of Oklahoma,2017,2018,162,24.1,12,3.6,1.7,0.8,0.2,0.43700000000000006,0.45899999999999996,0.41200000000000003,0.86,4.1,0.05,buddyhield,Buddy Hield,SG,23,NOP,57,1161,9.9,0.503,0.512,0.07,1.7,13.4,7.5,10.3,0.8,0.5,9,20.4,-0.4,0.9,0.5,0.02,-1.9,-1.6,-3.5,-0.4,2017,23.194000000000003,0.19400000000000261,1
41,2016,1,6,NOP,Buddy Hield,22.194000000000003,G,bs,University of Oklahoma,2017,2018,162,24.1,12,3.6,1.7,0.8,0.2,0.43700000000000006,0.45899999999999996,0.41200000000000003,0.86,4.1,0.05,buddyhield,Buddy Hield,SG,23,SAC,25,727,14.9,0.6,0.466,0.145,2.6,13.7,8.2,10.3,1.4,0.3,14.4,22.9,0.4,0.4,0.8,0.053,0.7,-2.2,-1.5,0.1,2017,23.194000000000003,0.19400000000000261,1
42,2016,1,6,NOP,Buddy Hield,22.194000000000003,G,bs,University of Oklahoma,2017,2018,162,24.1,12,3.6,1.7,0.8,0.2,0.43700000000000006,0.45899999999999996,0.41200000000000003,0.86,4.1,0.05,buddyhield,Buddy Hield,SG,24,SAC,80,2024,16.1,0.557,0.43700000000000006,0.087,3,14.8,8.6,12.8,2.1,1,11.3,24.3,1.3,1.5,2.8,0.067,1.2,-1.4,-0.2,0.9,2018,24.194000000000003,0.19400000000000261,2
43,2016,1,7,DEN,Jamal Murray,19.125,G,ca,University of Kentucky,2017,2018,163,26.6,13.3,3.1,2.7,0.8,0.3,0.43200000000000005,0.488,0.359,0.898,6.9,0.076,jamalmurray,Jamal Murray,SG,19,DEN,82,1764,11.9,0.518,0.47100000000000003,0.16399999999999998,2.6,10.7,6.7,14,1.4,1.1,12.6,21.6,0.6,0.7,1.3,0.037000000000000005,-0.5,-2.1,-2.6,-0.3,2017,20.125,1.125,1
44,2016,1,7,DEN,Jamal Murray,19.125,G,ca,University of Kentucky,2017,2018,163,26.6,13.3,3.1,2.7,0.8,0.3,0.43200000000000005,0.488,0.359,0.898,6.9,0.076,jamalmurray,Jamal Murray,PG,20,DEN,81,2565,16.1,0.5760000000000001,0.41100000000000003,0.23800000000000002,3.6,9.4,6.5,16.4,1.5,0.9,12.8,22.8,4.3,1.2,5.5,0.10300000000000001,1.8,-2,-0.2,1.2,2018,21.125,1.125,2
45,2016,1,8,SAC,Marquese Chriss,18.361,F,us,University of Washington,2017,2018,154,21.2,8.5,4.8,0.9,0.8,0.9,0.43799999999999994,0.515,0.309,0.617,2.5,0.037000000000000005,marquesechriss,Marquese Chriss,PF,19,PHO,82,1743,12.3,0.529,0.354,0.28600000000000003,5.8,16.1,10.8,5.2,1.8,3.2,13.2,19.7,0.3,1.5,1.8,0.05,-1.6,0,-1.6,0.2,2017,19.361,0.36100000000000065,1
46,2016,1,8,SAC,Marquese Chriss,18.361,F,us,University of Washington,2017,2018,154,21.2,8.5,4.8,0.9,0.8,0.9,0.43799999999999994,0.515,0.309,0.617,2.5,0.037000000000000005,marquesechriss,Marquese Chriss,PF,20,PHO,72,1527,11.1,0.509,0.39799999999999996,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,-0.8,1.5,0.7,0.023,-3.3,1.3,-2,0,2018,20.361,0.36100000000000065,2
47,2016,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,2017,2018,136,15.8,5.4,4.1,0.5,0.4,0.9,0.6409999999999999,0.642,0.5,0.5760000000000001,7.2,0.161,jakobpoeltl,Jakob Poeltl,C,21,TOR,54,626,12.2,0.589,0,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,0.9,0.7,1.6,0.125,-1.2,0.5,-0.7,0.2,2017,21.257,0.25700000000000145,1
48,2016,1,9,TOR,Jakob Poeltl,20.257,C,at,University of Utah,2017,2018,136,15.8,5.4,4.1,0.5,0.4,0.9,0.6409999999999999,0.642,0.5,0.5760000000000001,7.2,0.161,jakobpoeltl,Jakob Poeltl,C,22,TOR,82,1524,17.5,0.662,0.005,0.263,12.4,16.4,14.4,5.4,1.3,5.2,16.6,14.8,3.1,2.4,5.6,0.17600000000000002,0.4,2.9,3.3,2,2018,22.257,0.25700000000000145,2
49,2016,1,10,MIL,Thon Maker,19.123,F-C,ss,NA,2017,2018,131,13.7,4.4,2.6,0.5,0.4,0.6,0.429,0.483,0.331,0.6829999999999999,2.8,0.07400000000000001,thonmaker,Thon Maker,C,19,MIL,57,562,14,0.5579999999999999,0.409,0.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,0.8,0.5,1.3,0.113,-0.5,-1,-1.5,0.1,2017,20.123,1.123000000000001,1
50,2016,1,10,MIL,Thon Maker,19.123,F-C,ss,NA,2017,2018,131,13.7,4.4,2.6,0.5,0.4,0.6,0.429,0.483,0.331,0.6829999999999999,2.8,0.07400000000000001,thonmaker,Thon Maker,C,20,MIL,74,1238,10.2,0.499,0.32899999999999996,0.294,7.1,14.2,10.6,5.2,1.5,3.7,11,14.6,0.3,1.1,1.5,0.055999999999999994,-2.7,0,-2.7,-0.2,2018,21.123,1.123000000000001,2
51,2016,1,11,ORL,Domantas Sabonis,20.055999999999997,F-C,us,Gonzaga University,2017,2018,155,22.2,8.6,5.5,1.5,0.5,0.4,0.466,0.495,0.327,0.7290000000000001,5.5,0.077,domantassabonis,Domantas Sabonis,PF,20,OKC,81,1632,6.9,0.469,0.331,0.139,3.1,16.4,9.8,7.2,1.2,1.6,14,15.4,-1,1.8,0.8,0.022000000000000002,-4.7,-0.1,-4.8,-1.2,2017,21.055999999999997,1.0559999999999974,1
52,2016,1,11,ORL,Domantas Sabonis,20.055999999999997,F-C,us,Gonzaga University,2017,2018,155,22.2,8.6,5.5,1.5,0.5,0.4,0.466,0.495,0.327,0.7290000000000001,5.5,0.077,domantassabonis,Domantas Sabonis,C,21,IND,74,1810,17.5,0.5670000000000001,0.055999999999999994,0.33899999999999997,10.4,25.2,17.8,12.7,1.1,1.6,15.3,22.1,2.5,2.2,4.7,0.126,-0.8,0.5,-0.2,0.8,2018,22.055999999999997,1.0559999999999974,2
53,2016,1,12,UTA,Taurean Prince,22.099,F,us,Baylor University,2017,2018,141,24.4,10.6,3.9,1.9,0.9,0.5,0.42,0.456,0.374,0.825,3.1,0.043,taureanprince,Taurean Waller-Prince,SF,22,ATL,59,981,9.8,0.513,0.358,0.33,2.8,14.6,8.8,8.4,2.2,2.4,15.7,17.2,-0.4,1.5,1.1,0.054000000000000006,-3.8,1.5,-2.3,-0.1,2017,23.099,1.0990000000000002,1
54,2016,1,12,UTA,Taurean Prince,22.099,F,us,Baylor University,2017,2018,141,24.4,10.6,3.9,1.9,0.9,0.5,0.42,0.456,0.374,0.825,3.1,0.043,taureanprince,Taurean Waller-Prince,SF,23,ATL,82,2464,12.8,0.5489999999999999,0.469,0.185,2.3,15.3,8.8,13.9,1.7,1.5,15.3,22.1,0,2,2,0.038,-0.7,0,-0.7,0.8,2018,24.099,1.0990000000000002,2
55,2016,1,13,PHO,Georgios Papagiannis,18.36,C,gr,NA,2017,2018,39,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0,0.857,0.4,0.044000000000000004,georgiospapagiannis,Georgios Papagiannis,C,19,SAC,22,355,12.7,0.573,0.02,0.13699999999999998,7.9,20,14,9,0.4,4.4,18.2,16.9,0.1,0.3,0.4,0.057,-3.5,0.8,-2.7,-0.1,2017,19.36,0.35999999999999943,1
57,2016,1,13,PHO,Georgios Papagiannis,18.36,C,gr,NA,2017,2018,39,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0,0.857,0.4,0.044000000000000004,georgiospapagiannis,Georgios Papagiannis,C,20,SAC,16,118,10.7,0.415,0,0,11.1,24.2,17.4,11.5,0.9,4.8,16.3,18.7,-0.2,0.1,0,-0.018000000000000002,-6.3,1.4,-5,-0.1,2018,20.36,0.35999999999999943,2
58,2016,1,13,PHO,Georgios Papagiannis,18.36,C,gr,NA,2017,2018,39,12.2,4.1,3.2,0.7,0.2,0.6,0.514,0.521,0,0.857,0.4,0.044000000000000004,georgiospapagiannis,Georgios Papagiannis,C,20,POR,1,4,58.1,1,0,0,27.5,0,13.6,0,24.9,0,0,11,0,0,0.1,0.675,17.8,16.3,34.1,0,2018,20.36,0.35999999999999943,2
59,2016,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,2017,2018,134,22.9,8,4.1,2.3,0.7,0.1,0.39899999999999997,0.434,0.374,0.754,3.1,0.048,denzelvalentine,Denzel Valentine,SG,23,CHI,57,976,7.3,0.49200000000000005,0.722,0.063,1.2,15.6,8.3,9.3,1.5,0.6,14.2,15.4,-0.5,1.1,0.6,0.031,-2.4,-0.3,-2.7,-0.2,2017,23.225,0.22500000000000142,1
60,2016,1,14,CHI,Denzel Valentine,22.225,G,us,Michigan State University,2017,2018,134,22.9,8,4.1,2.3,0.7,0.1,0.39899999999999997,0.434,0.374,0.754,3.1,0.048,denzelvalentine,Denzel Valentine,SG,24,CHI,77,2095,12.1,0.527,0.513,0.071,2.4,18.3,10.1,17.8,1.5,0.5,11.8,17.5,1,1.5,2.5,0.057,-0.4,-0.1,-0.5,0.8,2018,24.225,0.22500000000000142,2
61,2016,1,15,DEN,Juan Hernangomez,20.274,F,es,NA,2017,2018,87,12.9,4.4,2.8,0.5,0.4,0.2,0.435,0.515,0.368,0.7609999999999999,2.2,0.09300000000000001,juanhernangomez,Juan Hernangomez,PF,21,DEN,62,842,13.4,0.5920000000000001,0.504,0.33899999999999997,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,0.10400000000000001,-0.1,-1.2,-1.3,0.1,2017,21.274,0.2740000000000009,1
62,2016,1,15,DEN,Juan Hernangomez,20.274,F,es,NA,2017,2018,87,12.9,4.4,2.8,0.5,0.4,0.2,0.435,0.515,0.368,0.7609999999999999,2.2,0.09300000000000001,juanhernangomez,Juan Hernangomez,PF,22,DEN,25,277,9.7,0.511,0.667,0.16,7.4,14.6,11,5.9,1.1,0.9,10.1,14,0.2,0.1,0.4,0.061,-1,-2.2,-3.3,-0.1,2018,22.274,0.2740000000000009,2
63,2016,1,16,BOS,Guerschon Yabusele,20.194000000000003,F,fr,NA,2018,2018,33,7.1,2.4,1.6,0.5,0.1,0.2,0.426,0.583,0.324,0.682,0.6,0.122,guerschonyabusele,Guerschon Yabusele,PF,22,BOS,33,235,12.3,0.5589999999999999,0.607,0.361,8,16.1,12.1,10,0.9,1.8,14.5,15.7,0.3,0.3,0.6,0.122,-1,0.2,-0.7,0.1,2018,22.194000000000003,0.19400000000000261,2
